direction,Date,Price,size,structure,carry,managementFee
sell,"Aug 15, 2016",275,1560000,direct,null,null
sell,"Aug 15, 2016",275,1040000,direct,null,null
buy,"Nov 11, 2016",275,15000000,unspecified,null,null
buy,"Jan 8, 2017",301,16500000,unspecified,null,null
sell,"Jan 8, 2017",295,3584000,direct,null,null
sell,"Jan 8, 2017",286.6,6111000,spv,0,0
buy,"Jan 8, 2017",255,200000040,unspecified,null,null
buy,"Jan 8, 2017",245,15000025,unspecified,null,null
sell,"Jan 8, 2017",245,100000000,spv,0,0
buy,"Jan 8, 2017",235,2970000,unspecified,null,null
buy,"Jan 8, 2017",235,1394470,unspecified,null,null
buy,"Jan 8, 2017",235,198000000,unspecified,null,null
buy,"Jan 8, 2017",235,316800,unspecified,null,null
sell,"Jan 8, 2017",205,34000000,spv,0,0
buy,"Jan 12, 2017",255,200000040,unspecified,null,null
buy,"Jan 12, 2017",245,15000025,unspecified,null,null
buy,"Jan 12, 2017",235,198000000,unspecified,null,null
sell,"Jan 14, 2017",253,15000000,spv,0,0
sell,"Jan 14, 2017",245,10000000,spv,0,0
sell,"Jan 14, 2017",245,100000000,spv,0,0
sell,"Jan 14, 2017",243,10000000,spv,0,0
sell,"Jan 14, 2017",207.84,1500005.94,spv,null,null
buy,"Jan 22, 2017",267,25000000,unspecified,null,null
sell,"Jan 23, 2017",245,10000000,spv,0,0
buy,"Jan 25, 2017",299.2,710073.7,unspecified,null,null
sell,"Jan 25, 2017",285,674595,direct,null,null
sell,"Feb 7, 2017",275,25000000,spv,0,0
buy,"Feb 28, 2017",269,3000000,unspecified,null,null
buy,"Mar 14, 2017",275,10000000,unspecified,null,null
buy,"Mar 21, 2017",275,10246210,unspecified,null,null
sell,"Mar 26, 2017",259,20000000,spv,0,0
sell,"May 8, 2017",245,10000000,spv,0,0
buy,"May 10, 2017",269,3000000,unspecified,null,null
sell,"May 12, 2017",275,1040000,direct,null,null
sell,"May 12, 2017",275,25000000,spv,0,0
buy,"May 12, 2017",275,1000000,unspecified,null,null
buy,"May 25, 2017",245,10000000,unspecified,null,null
buy,"Jun 1, 2017",275,6916650,unspecified,null,null
sell,"Jun 1, 2017",267.2,9938823.7,spv,0,0
buy,"Jun 5, 2017",255,10000000,unspecified,null,null
buy,"Jun 30, 2017",387,10000000,unspecified,null,null
sell,"Aug 13, 2017",253,15000000,spv,0,0
sell,"Aug 13, 2017",245,10000000,spv,0,0
sell,"Aug 13, 2017",243,10000000,spv,0,0
buy,"Sep 19, 2017",353,50000000,unspecified,null,null
buy,"Sep 25, 2017",275,10246210,unspecified,null,null
buy,"Sep 25, 2017",275,6916650,unspecified,null,null
buy,"Oct 19, 2017",295,25000000,unspecified,null,null
sell,"Oct 19, 2017",286.6,6111000,spv,0,0
sell,"Oct 24, 2017",385,50000000,spv,15%,1%
buy,"Oct 26, 2017",295,6000000,unspecified,null,null
sell,"Oct 29, 2017",275,1560000,direct,null,null
sell,"Oct 29, 2017",259,20000000,spv,0,0
buy,"Oct 30, 2017",301,16500000,unspecified,null,null
buy,"Oct 30, 2017",299.2,710073.7,unspecified,null,null
buy,"Oct 30, 2017",275,10000000,unspecified,null,null
buy,"Oct 30, 2017",275,15000000,unspecified,null,null
buy,"Oct 30, 2017",275,1000000,unspecified,null,null
buy,"Oct 30, 2017",267,25000000,unspecified,null,null
buy,"Oct 30, 2017",255,10000000,unspecified,null,null
buy,"Oct 30, 2017",245,10000000,unspecified,null,null
buy,"Oct 30, 2017",235,2970000,unspecified,null,null
buy,"Oct 30, 2017",235,1394470,unspecified,null,null
buy,"Oct 30, 2017",235,316800,unspecified,null,null
buy,"Oct 31, 2017",295,25000000,unspecified,null,null
sell,"Oct 31, 2017",285,6000000,spv,0,0
buy,"Nov 3, 2017",295,50000000,unspecified,null,null
sell,"Nov 3, 2017",285,55000000,direct,null,null
sell,"Nov 12, 2017",285,50000000,direct,null,null
sell,"Nov 30, 2017",285,50000000,direct,null,null
buy,"Jan 5, 2018",295,50000000,unspecified,null,null
sell,"Jan 16, 2018",285,6000000,spv,0,0
buy,"Jan 20, 2018",295,50000000,unspecified,null,null
sell,"Jan 25, 2018",385,50000000,spv,10%,2%
sell,"Jan 28, 2018",345,50000000,spv,0,0
sell,"Jan 31, 2018",285,55000000,direct,null,null
buy,"Feb 21, 2018",315,3000000,unspecified,null,null
buy,"Feb 27, 2018",345,20000000,unspecified,null,null
sell,"Mar 17, 2018",353,50000000,spv,20%,2%
buy,"Mar 19, 2018",385,925000,unspecified,null,null
buy,"Mar 21, 2018",359,3000000,unspecified,null,null
sell,"Apr 2, 2018",386.8,30000000,spv,0,0
sell,"Apr 12, 2018",305,50000000,spv,7%,1%
sell,"Apr 15, 2018",305,50000000,spv,7%,1%
sell,"Apr 30, 2018",377,4500000,direct,null,null
buy,"May 3, 2018",295,6000000,unspecified,null,null
sell,"May 14, 2018",385,50000000,spv,15%,1%
sell,"May 15, 2018",386.8,30000000,spv,0,0
sell,"May 17, 2018",393,5000000,spv,0,0
buy,"May 18, 2018",375,20000000,unspecified,null,null
sell,"May 19, 2018",353,50000000,spv,20%,2%
sell,"May 21, 2018",385,50000000,spv,null,null
buy,"Jul 22, 2018",345,20000000,unspecified,null,null
buy,"Aug 12, 2018",387,10000000,unspecified,null,null
buy,"Aug 30, 2018",353,25000000,unspecified,null,null
buy,"Sep 17, 2018",375,25000000,unspecified,null,null
sell,"Sep 23, 2018",455,50000000,spv,10%,1%
sell,"Sep 23, 2018",375,100000000,spv,20%,0
sell,"Sep 27, 2018",345,50000000,spv,0,0
sell,"Oct 8, 2018",393,5000000,spv,0,0
buy,"Oct 24, 2018",375,25000000,unspecified,null,null
sell,"Oct 29, 2018",465,1282500,direct,null,null
buy,"Nov 13, 2018",447,10000000,unspecified,null,null
sell,"Jan 12, 2019",385,50000000,spv,10%,2%
sell,"Jan 12, 2019",377,4500000,direct,null,null
buy,"Jan 12, 2019",375,20000000,unspecified,null,null
buy,"Jan 12, 2019",295,50000000,unspecified,null,null
sell,"Jan 13, 2019",515,1250000,direct,null,null
sell,"Jan 13, 2019",515,2500000,direct,null,null
buy,"Jan 13, 2019",445,5000000,unspecified,null,null
sell,"Jan 13, 2019",375,100000000,spv,20%,0
buy,"Jan 14, 2019",447,10000000,unspecified,null,null
buy,"Jan 14, 2019",385,925000,unspecified,null,null
buy,"Jan 14, 2019",359,3000000,unspecified,null,null
buy,"Jan 14, 2019",315,3000000,unspecified,null,null
buy,"Jan 15, 2019",353,25000000,unspecified,null,null
buy,"Jan 21, 2019",445,7500000,unspecified,null,null
buy,"Mar 26, 2019",445,7500000,unspecified,null,null
sell,"May 6, 2019",515,2500000,direct,null,null
sell,"May 6, 2019",465,1282500,direct,null,null
sell,"May 6, 2019",385,50000000,spv,null,null
buy,"May 22, 2019",375,10000000,unspecified,null,null
buy,"Jun 12, 2019",445,5000000,unspecified,null,null
sell,"Jul 11, 2019",443,8560000,spv,10%,0
sell,"Jul 14, 2019",443,10000000,spv,0,0
buy,"Aug 6, 2019",375,20000000,unspecified,null,null
sell,"Aug 7, 2019",415,20000000,spv,0,0
buy,"Sep 17, 2019",415,20000000,unspecified,null,null
sell,"Oct 1, 2019",443,5000000,spv,0,0
sell,"Oct 8, 2019",455,1000000,spv,0,0
buy,"Nov 13, 2019",431,10000000,unspecified,null,null
sell,"Nov 18, 2019",443,5000000,spv,0,0
sell,"Nov 20, 2019",455,150000000,spv,0,0
buy,"Nov 20, 2019",435,1050000,unspecified,null,null
sell,"Dec 5, 2019",405,19500000,spv,0,0
sell,"Dec 7, 2019",443,10000000,spv,0,0
sell,"Dec 7, 2019",415,20000000,spv,0,0
buy,"Dec 7, 2019",353,50000000,unspecified,null,null
sell,"Dec 10, 2019",439,20000000,direct,null,null
sell,"Jan 16, 2020",405,19500000,spv,0,0
sell,"Jan 19, 2020",477,104999895,spv,0,0
sell,"Jan 21, 2020",455,150000000,spv,0,0
sell,"Jan 21, 2020",439,20000000,direct,null,null
buy,"Feb 2, 2020",435,1050000,unspecified,null,null
buy,"Feb 14, 2020",431,10000000,unspecified,null,null
sell,"Feb 25, 2020",455,80000000,spv,0,0
buy,"Feb 25, 2020",455,2000000,unspecified,null,null
sell,"Feb 25, 2020",455,20000000,spv,0,0
sell,"Feb 25, 2020",395,4940000,spv,0,0
sell,"Mar 11, 2020",487.5,20000000,spv,0,0
buy,"Mar 11, 2020",455,2000000,unspecified,null,null
sell,"Mar 11, 2020",455,20000000,spv,0,0
sell,"Mar 11, 2020",395,4940000,spv,0,0
buy,"Mar 24, 2020",455,15000000,unspecified,null,null
sell,"Apr 1, 2020",477,214883592,spv,0,0
sell,"Apr 1, 2020",465,20000000,spv,10%,0
sell,"Apr 1, 2020",465,5000000,spv,0,0
buy,"Apr 1, 2020",455,2000000,unspecified,null,null
sell,"Apr 4, 2020",449,30000000,spv,0,0
sell,"Apr 7, 2020",455.38,10000000,direct,null,null
